graph,n,trial,demand,cost,efficiency,robustness,algebraic_connectivity,network_entropy,cyclomatic_number,betweenness_gini,num_edges,steiner_ratio
Grid,100,19,Fixed,10.469958421589807,1.3853157605657322,0.9131313131313129,0.0033942710879678673,4.50650112292662,0,0.6740754222003609,99,1.1498754326306582
Grid,100,19,Uniform,11.325474274025485,1.0341503695168062,0.9738383838383836,0.00694772977937253,4.743935881884824,17,0.5268885915021746,116,1.2438334620067182
Grid,100,20,Fixed,10.371723803366656,1.79833741315034,0.8997979797979799,0.0028462854945896943,4.493396761829483,0,0.6219652944227183,99,1.152984864609247
Grid,100,20,Uniform,11.190668385296195,0.9987457500003233,0.9720202020202021,0.010155809410302467,4.7348204379845615,16,0.48662174840085304,115,1.2440238014166474
Grid,100,21,Fixed,10.42926258325339,1.332227224481222,0.9254545454545453,0.0048199186661067785,4.494632324930147,0,0.6374392780403957,99,1.151867923690465
Grid,100,21,Uniform,11.117545841182821,0.8872774798214909,0.9824242424242425,0.017215311697921936,4.725089057094786,15,0.535589958158996,114,1.2278858972426052
Grid,100,22,Fixed,10.280057420700276,1.590748443306851,0.8984848484848484,0.0028152570555966695,4.504339603664641,0,0.6240428004260676,99,1.1380764641303667
Grid,100,22,Uniform,10.799589972201332,0.9000391995758549,0.9886868686868686,0.016823532688291388,4.697648435636568,12,0.4457913427392264,111,1.1955924628272565
Grid,100,23,Fixed,11.103486832212567,1.5646815270381664,0.9105050505050505,0.003288791493554739,4.445824793753733,0,0.6499962479480967,99,1.2375307760970722
Grid,100,23,Uniform,10.753768018849222,0.9167730276851849,0.9792929292929293,0.015284132592796219,4.708730838524858,13,0.5128978544776119,112,1.198553128709612
Grid,100,24,Fixed,10.371992294959606,1.5986030628360792,0.9097979797979798,0.003179392886971092,4.515047837797215,0,0.6442288433813386,99,1.1410734515800567
Grid,100,24,Uniform,10.955117949457243,1.1684192898121428,0.9684848484848484,0.006238881153078735,4.709396838546545,13,0.5139652603655653,112,1.205225948454341
Grid,100,25,Fixed,10.746829613019596,1.6067170432169486,0.9090909090909092,0.0032687608015766825,4.476717390585193,0,0.6514346901769523,99,1.1935999847483945
Grid,100,25,Uniform,11.574301475600373,0.8934859177618301,0.976060606060606,0.015530592005397536,4.776124726478264,21,0.47255296661061763,120,1.2855034053962473
Grid,100,26,Fixed,10.598291516577438,1.715479535637809,0.8985858585858586,0.0026771484221849544,4.494094686580105,0,0.635650642498155,99,1.1609531032731346
Grid,100,26,Uniform,10.725387602430468,1.3016356694351732,0.9376767676767677,0.004372434343752996,4.699360823560073,12,0.5694112748238311,111,1.1748754033961446
Grid,100,27,Fixed,10.228033478125768,1.3754018269722215,0.9109090909090909,0.003743492667738264,4.527918884248399,0,0.6351058417085431,99,1.1264439718288268
Grid,100,27,Uniform,11.112865153363312,1.0324464435329468,0.9634343434343435,0.006529285352601961,4.736359257634229,16,0.5913690353019079,115,1.2238931353250317
Grid,100,28,Fixed,11.054093728561687,1.802029145466625,0.9018181818181816,0.002852844588881613,4.469245413186046,0,0.6245431534135855,99,1.2137969596151394
