n,trial,demand,cost,efficiency,robustness,algebraic_connectivity,network_entropy,cyclomatic_number,betweenness_gini,num_edges,steiner_ratio
50,15,HubSpoke,5.9068624066024675,0.7968114493506968,0.9575510204081634,0.031098971872607857,3.7917624360217697,3,0.5681822255414493,52,1.2631365459345916
50,16,Fixed,7.571834058664549,1.6382241880880264,0.9016326530612245,0.01189441168931721,3.4081630659272193,0,0.5788695555801839,49,1.516609284688513
50,16,Uniform,8.849192765269565,0.6688357543506417,0.9979591836734695,0.07617282881559136,4.008149892677802,16,0.3918432708688244,65,1.7724593283246455
50,16,HubSpoke,6.651321761457578,0.9196133622308866,0.9240816326530612,0.017620091523702183,3.7746709654669743,4,0.6160735215769846,53,1.3322342064977124
50,17,Fixed,9.903158256937967,1.5221069183936466,0.9191836734693878,0.013774715686698647,3.4132482543366676,2,0.5949823143001516,51,2.064941083163519
50,17,Uniform,8.679855628053454,0.6675829514877483,0.9967346938775511,0.07384342630020066,4.042117598354296,18,0.38973316840431127,67,1.8098661070814328
50,17,HubSpoke,5.712693791697801,0.9231613688740331,0.9240816326530612,0.019999584345948288,3.7257830906559257,1,0.5532592318142522,50,1.19117313890704
50,18,Fixed,11.853564757839212,1.2579388298027359,0.8951020408163265,0.010587721696404817,3.4172662167437085,5,0.6388612742882964,54,2.6714749976323815
50,18,Uniform,7.46098860791794,0.6424695293873155,0.9946938775510205,0.0671893891347056,3.9489485520602736,15,0.3624269149109911,64,1.6815063595523971
50,18,HubSpoke,5.545915537730909,0.740197028730414,0.936734693877551,0.02172131211031302,3.703106323360456,3,0.5557371477127886,52,1.2499003464954146
50,19,Fixed,11.808690452399881,1.3853479095853118,0.8869387755102041,0.009455041759635272,3.4182862749695424,6,0.5619436592260454,55,2.60637506332566
50,19,Uniform,8.721131762557267,0.6492916822840965,0.9979591836734695,0.09757206284964494,4.091922267036108,20,0.3853214562354763,69,1.924899330838763
50,19,HubSpoke,6.970189771140231,0.8528096899586146,0.970204081632653,0.03188914629909433,3.7679754530048664,4,0.5182649283759861,53,1.5384372110842672
50,20,Fixed,11.89002719583941,1.2290266178054994,0.8889795918367348,0.00954862666029823,3.5004069449872266,6,0.5888565529446463,55,2.3967438309757028
50,20,Uniform,8.489752358400343,0.6349499473168929,0.9979591836734695,0.10225407238028314,4.052796565278227,17,0.3830103550295858,66,1.7113301135785113
50,20,HubSpoke,6.4044597532544705,0.771270726827717,0.949387755102041,0.0250556019503546,3.8410547291839157,4,0.5686278495716568,53,1.2909852224489515
50,21,Fixed,9.946644123706221,1.3584001425314207,0.8955102040816327,0.011715912403364701,3.3781894342222305,2,0.5739010815919352,51,2.014841106755888
50,21,Uniform,8.266106946036052,0.658988814909315,0.9963265306122449,0.07348129770082074,4.076645544834533,17,0.44908326029798395,66,1.6744232386900786
50,21,HubSpoke,6.7834703035496124,0.7475243137124514,0.9677551020408163,0.033960340650118215,3.863180038615333,7,0.5366900603884448,56,1.3740930754197835
50,22,Fixed,9.628356638968022,1.3943799745014338,0.9073469387755102,0.011809155937790127,3.453761954443109,2,0.6036375661375664,51,1.8574754091357901
50,22,Uniform,8.52127353618237,0.6203059753973661,0.9955102040816327,0.09305316024004052,4.075816325084577,19,0.3839559575304756,68,1.6439000591148438
50,22,HubSpoke,5.756549275736765,0.8471497178114857,0.9228571428571428,0.01689567525292463,3.731510342816911,1,0.5791890157833952,50,1.1105372517968481
50,23,Fixed,8.764385026879646,1.3379642339975628,0.9220408163265306,0.020086679459139358,3.416403231473184,2,0.5557715736040607,51,1.8174852303388045
50,23,Uniform,8.842346938157547,0.6340090864791078,0.9959183673469388,0.08684989811749899,4.118876803299529,22,0.39847898338220933,71,1.8336523227066095
