n,k,ep_return,rl_cost,rl_steiner_ratio,rl_algebraic_connectivity,rl_robustness,rl_efficiency,rl_n,rl_k,std_cost,std_efficiency,std_robustness,std_algebraic_connectivity,std_network_entropy,std_cyclomatic_number,std_betweenness_gini,std_num_edges,std_steiner_ratio
50,5,0.6904789537330982,177.44757221955368,37.311375828825746,0.10587670209260305,0.9942857142857143,0.6495001482598033,50,5,13.189497417308818,0.7845424816770443,0.957142857142857,0.02438042415658474,4.098792481656822,28,0.6517668225980566,77,2.7733165857104205
50,5,0.9853921405199039,268.9884745781637,54.43026794807444,8.000000000000027,1.0,0.5616793903354449,50,5,13.083953390474823,0.7416116359925947,0.9767346938775511,0.09683429218272108,4.016009953765705,22,0.6186171835282155,71,2.6475598628547132
50,2,0.9577471851969341,155.95107705551825,32.22458406756323,4.000000000000092,1.0,0.7862514644105913,50,2,6.018624056279919,1.2557033301361848,0.8453061224489795,0.006723671950185639,3.674114161121369,2,0.47846865602590793,51,1.243644228270419
50,3,0.5519808393094733,385.9101296988922,80.16728797547394,8.000000000000139,1.0,0.5470942661995073,50,3,15.077587115720025,0.9065018181443527,0.9738775510204083,0.0699428132956582,3.970833529469978,20,0.660312271285679,69,3.132152216953564
50,5,0.9473607019894621,285.95530703507035,59.98785296595096,8.998747102319937,1.0,0.5408661174092703,50,5,14.961315421704212,0.7345042057607836,0.9791836734693876,0.08217689561008265,4.124770073054566,27,0.6626745040411464,76,3.13859252692357
20,5,0.5356995461014566,109.3285573825095,33.58094982046648,20.000000000000004,1.0,0.5754134599079448,20,5,9.99266202271279,0.7658367453012233,0.9631578947368421,0.11732025598871704,3.2557945677305966,12,0.5748917748917748,31,3.0693086051026865
20,1,1.079871986579807,52.41129403213934,17.818454706763085,3.0000000000000306,1.0,0.7319667443640991,20,1,10.887783387681196,1.0890643257933257,0.9394736842105263,0.12144906393255084,2.9665396247761247,7,0.6045657015590202,26,3.7015585807036033
50,2,0.6389476392567208,242.3553875870332,50.202740746929685,6.957785777533595,1.0,0.7017323056764294,50,2,10.735686240035744,1.0403479438063563,0.8657142857142859,0.007420962808303537,3.6795939063481264,10,0.5860494856825129,59,2.22384523164498
50,5,0.7354253288495063,326.69124478962203,66.9151369465472,10.000000000000083,1.0,0.5269890314528094,50,5,14.987749840436974,0.7776948505910921,0.9844897959183672,0.12415953067946049,4.065931067336834,26,0.7230816831683169,75,3.0698935128771785
20,2,0.9134100688809286,42.47601976104811,14.203226285463698,2.000000000000034,1.0,0.6681893101209054,20,2,5.121377127205815,0.7833374199956471,0.9236842105263158,0.080018594226577,3.000639720511668,5,0.6254563894523326,24,1.7124975136584528
20,3,0.6904716345863688,99.6443493268084,35.47260614191543,16.000000000000053,1.0,0.5355676898674457,20,3,4.285905767972074,0.8241541811619756,0.8763157894736843,0.05356015170870074,2.88757321185997,3,0.6303225806451611,22,1.525748808595352
50,1,0.4716696531821676,157.53298247522986,32.30535747226027,4.000000000000066,1.0,0.9070082717175688,50,1,8.235047227924012,1.6458880206070305,0.9183673469387754,0.01827227820923152,3.527721033390386,0,0.6283000259538023,49,1.6887647292582817
50,2,0.3587305464599818,198.5363894405991,39.63845627519807,4.975858083891147,1.0,0.5797355332690158,50,2,11.54698922064202,0.9303991814731682,0.9514285714285713,0.028028404058903004,3.8770805077087167,12,0.6139625236376138,61,2.3053951400156025
