trial,k_commodities,method,n,cost,efficiency,robustness,algebraic_connectivity,network_entropy,cyclomatic_number,betweenness_gini,num_edges,steiner_ratio
9,2,Physarum-k2,50,11.05545430621985,0.9911218030699948,0.9061224489795918,0.011758273331650502,3.7006873106751645,10,0.6681828513701225,59,2.2658060237666597
9,2,Union-k2,50,11.204447839982986,0.7607490323949564,0.9861224489795917,0.04818348055109852,3.84985737710228,17,0.5219119420989142,66,2.2963421226868883
9,3,Physarum-k3,50,8.059009807882497,0.983313521201668,0.9008163265306124,0.011665200477869453,3.788692717425959,8,0.5887321020958705,57,1.6516872543194816
9,3,Union-k3,50,8.199629169086077,0.782922803153721,0.9865306122448979,0.02575486702539887,3.8441159515161076,11,0.5276574776934346,60,1.680507073645589
9,5,Physarum-k5,50,11.89909334346014,0.7764132042073895,0.966938775510204,0.04045400680332567,4.057120656473436,22,0.5637362637362633,71,2.438709131998795
9,5,Union-k5,50,17.887289968119237,0.7035035673450402,0.9824489795918367,0.0412114081685129,4.222772973490406,40,0.4792157591525734,89,3.6659849732112444
9,10,Physarum-k10,50,18.509290185854503,0.6003954645515087,0.9910204081632653,0.10883938856956615,4.520876858243774,59,0.5729780186690756,108,3.793463392559045
9,10,Union-k10,50,27.66512239933233,0.6464492481863588,0.9934693877551021,0.11006596801993347,4.464476427235017,66,0.4625279215472624,115,5.669943472642544
10,0,MST,50,4.65027266566655,0.8511201418804537,0.889795918367347,0.010711593401956234,3.7501059230402274,0,0.5972726325658924,49,1.0
10,0,kNN,50,11.788314985563636,0.6187897629842739,1.0,0.09202976400861868,4.426853219983856,48,0.5563509808057372,97,2.5349728570967462
10,1,Physarum-k1,50,8.476984193768857,1.5876705032152454,0.9057142857142857,0.012156195564612744,3.409674541549403,1,0.6419966879583627,50,1.822900462666484
10,1,Union-k1,50,9.918001328494213,1.5975888205584883,0.9073469387755102,0.012443814847516804,3.3621538389249785,2,0.6492146596858639,51,2.1327784501153784
10,2,Physarum-k2,50,7.158658114418636,0.7879460598578686,0.9306122448979594,0.01853710670084646,3.7474476397996135,6,0.6674779224666962,55,1.5394061013393385
10,2,Union-k2,50,10.277871483176986,0.747964675155916,0.9391836734693879,0.018974903532554065,3.870526445542742,16,0.6210199745006375,65,2.2101653434345017
10,3,Physarum-k3,50,7.661679902710374,0.7064286606354486,0.9457142857142858,0.02128609582087406,3.8664224939349574,11,0.6648929266709931,60,1.6475764871331868
10,3,Union-k3,50,8.128358130907984,0.7150393344618479,0.9575510204081632,0.023532811384320725,3.8010403467712863,12,0.6165245999700912,61,1.7479315118273608
10,5,Physarum-k5,50,10.497143981509037,0.8210144631398106,0.9681632653061224,0.05179195214862189,3.908535884477553,16,0.7140516605166047,65,2.2573179544955613
10,5,Union-k5,50,21.21680576159916,0.6287529752968343,0.9906122448979593,0.08720200240652477,4.282395472636195,48,0.5366458826058913,97,4.562486393162504
10,10,Physarum-k10,50,16.408346792357733,0.6002418917857607,0.9893877551020409,0.09210540004363868,4.414619954030616,48,0.6497229219143579,97,3.5284698279097215
10,10,Union-k10,50,22.130041563089737,0.6277222455023667,0.9910204081632653,0.1140218051876379,4.227971489402115,47,0.5627988467509426,96,4.758869673702825
11,0,MST,50,4.729348828939166,1.2145185412927424,0.826530612244898,0.005776241124969336,3.7414748652008214,0,0.47977696237139345,49,1.0
11,0,kNN,50,12.131455080659137,0.712408496741155,1.0,0.08758068895909227,4.439761660098082,48,0.5349051490514909,97,2.565142796493683
11,1,Physarum-k1,50,7.365742439435561,1.4764661423317769,0.8914285714285716,0.012400504961904313,3.62624124149137,0,0.5588157894736845,49,1.5574538283926416
11,1,Union-k1,50,7.123909199450254,1.442342837615204,0.8951020408163265,0.013299552841853043,3.629414670465552,0,0.5561302798982188,49,1.506319253902066
11,2,Physarum-k2,50,8.497228436223423,0.9386913779267108,0.9114285714285715,0.013647651799527925,3.7549474603773425,9,0.5689835916134913,58,1.7967015636969679
11,2,Union-k2,50,10.405812941865992,0.8428942557760293,0.963265306122449,0.022140625550802442,3.7109360045742585,12,0.5021194652275236,61,2.2002633593428773
11,3,Physarum-k3,50,9.089765313326325,1.152689915882791,0.8751020408163265,0.007389527946468384,3.7929586652446328,10,0.5926281869017154,59,1.9219908791048592
11,3,Union-k3,50,8.10798574765082,0.8903314061243149,0.9914285714285714,0.025091868035005783,3.784974455015013,10,0.41055812300035543,59,1.7143979099273825
11,5,Physarum-k5,50,15.447316894371976,0.7086888248333322,0.9795918367346939,0.04787641067857039,4.129272011899395,30,0.679531996179561,79,3.266267186689408
11,5,Union-k5,50,19.076518962377232,0.7265952808545733,0.9914285714285714,0.08810901010899454,4.137810948858312,38,0.5100977995110025,87,4.03364599490883
