trial,mu,demand,n,cost,efficiency,robustness,algebraic_connectivity,network_entropy,cyclomatic_number,betweenness_gini,num_edges,steiner_ratio
2,0.5,fixed,50,86.43415297265462,1.0323547779722058,1.0,2.0000000000000404,4.774440674591789,81,0.9552694063926941,130,20.43748391846983
2,0.5,uniform,50,7.471324700322126,0.7311986211394254,0.9481632653061225,0.02945670642120571,4.228043678794809,31,0.6117230769230766,80,1.766605828379071
2,0.75,fixed,50,13.37911216131375,1.4930159832538128,0.9081632653061223,0.011107169523355767,3.6163536039298365,0,0.7460403618649967,49,3.16351095297667
2,0.75,uniform,50,4.229197357045603,0.7815806951731293,0.8893877551020408,0.011336432775967359,3.6818419130387157,0,0.5377859049125238,49,1.0
2,1.0,fixed,50,8.620698928307801,1.6985970115736262,0.9204081632653061,0.0189693769328369,3.3523124830007527,0,0.5863569302445968,49,2.0383770726485975
2,1.0,uniform,50,6.734603582329515,0.5869059796378732,0.9934693877551021,0.06913793069630096,3.9691699757179384,16,0.42359339704604726,65,1.5924070252030322
2,1.25,fixed,50,4.69262317275162,0.8291785270367672,0.9077551020408162,0.015458650654014906,3.60067841404024,0,0.5699942256611614,49,1.109577722811629
2,1.25,uniform,50,5.444834259779306,0.6229489668494184,0.9942857142857142,0.05266504221529109,3.752220941732429,5,0.439246514387422,54,1.287439152185348
2,1.5,fixed,50,4.867924555879312,0.8927260521893071,0.913877551020408,0.01847393953589041,3.534996703625492,0,0.5636217061725424,49,1.151027995364091
2,1.5,uniform,50,4.728602705638715,0.6650739126020294,0.9685714285714284,0.021927878731853735,3.7151252838137956,2,0.516369215034518,51,1.118085136831255
2,2.0,fixed,50,4.502728348110791,0.7485825759725395,0.916734693877551,0.02055046926210684,3.639135254676268,0,0.5449125382262998,49,1.064676809326361
2,2.0,uniform,50,4.287211950082087,0.7937937988327938,0.8889795918367347,0.011269345204488081,3.6814216416852665,0,0.5500059630292191,49,1.0137176367378162
3,0.5,fixed,50,102.50925113953919,0.9808304225506536,1.0,2.000000000000042,5.000939244310425,116,0.945245283018868,165,22.432894768282416
3,0.5,uniform,50,7.1425265620909055,0.8365186928497873,0.9306122448979592,0.020310582304366366,4.125751452653395,20,0.65759009009009,69,1.563054504504573
3,0.75,fixed,50,10.516017473251265,1.3293256707430483,0.9289795918367345,0.018874969987482337,3.6176016403284468,0,0.7196115924708693,49,2.3013016945928424
3,0.75,uniform,50,4.569595328574167,0.8132922003340477,0.8979591836734694,0.014999371454843452,3.7732934920869696,0,0.5612644889357219,49,1.0
3,1.0,fixed,50,13.447707168021376,1.0061368362982204,0.9187755102040814,0.01787225765475077,3.4698230010979945,8,0.6150350810052301,57,2.942866096682879
3,1.0,uniform,50,7.251894434247723,0.6277819310144942,0.9938775510204081,0.07447710898915695,3.999394169911279,14,0.4261881103306493,63,1.5869883245242427
3,1.25,fixed,50,5.339596247177344,0.9333641120734325,0.9069387755102041,0.016520159125963954,3.6049238740623224,0,0.5593644690715818,49,1.1685052752457705
3,1.25,uniform,50,5.960203867894084,0.6896216328566546,0.9934693877551021,0.05008998305498743,3.8479849591138993,6,0.3986666666666665,55,1.3043176560130596
3,1.5,fixed,50,5.339596247177344,0.9333641120734325,0.9069387755102041,0.016520159125969373,3.6049238740623224,0,0.5593644690715818,49,1.1685052752457705
3,1.5,uniform,50,4.799064259006747,0.7623409854645403,0.9306122448979592,0.017053996648487748,3.7905187772297904,1,0.5928440826549777,50,1.050216466433622
3,2.0,fixed,50,4.976450178165053,0.9571004549382016,0.9069387755102041,0.014102865127273417,3.7283611984939653,0,0.5982833410244575,49,1.0890352034121664
3,2.0,uniform,50,4.623156340663677,0.8235543717314381,0.9016326530612245,0.015660930625379592,3.772317402910423,0,0.5769620806469238,49,1.011721171840882
4,0.5,fixed,50,106.84433230192788,1.0390469614941535,1.0,2.0000000000000457,5.050314751041098,123,0.9348717948717951,172,21.95595675512055
4,0.5,uniform,50,9.52416877510805,0.7605083286697792,0.9755102040816327,0.0421480071629873,4.260867019864786,31,0.5684036095159968,80,1.957167341022998
4,0.75,fixed,50,11.033262401018042,1.593171349073759,0.8967346938775509,0.010229451097475651,3.563151844275967,0,0.6775769543500989,49,2.2672782629226895
4,0.75,uniform,50,4.866302730215104,0.8757404777088265,0.8963265306122449,0.01267363821390891,3.760851495509949,0,0.5670161716520452,49,1.0
4,1.0,fixed,50,11.055513663107106,1.4192271165512362,0.9085714285714285,0.013240897001410554,3.3918128374044354,4,0.5942158005127012,53,2.271850782003943
4,1.0,uniform,50,8.081114561632253,0.6332473318263362,0.9979591836734695,0.10218452254004179,4.016827583554932,15,0.37230686115613176,64,1.6606271762453721
4,1.25,fixed,50,5.570213367882615,1.2481843952833076,0.8873469387755101,0.009711636800342548,3.6274991342080383,0,0.5705947550717465,49,1.1446499892612305
4,1.25,uniform,50,6.18901881031012,0.6919841974908212,0.9959183673469388,0.0456797257376926,3.8638128517372885,6,0.4588230075410318,55,1.2718113018087038
4,1.5,fixed,50,5.405853668741158,1.1000460473777536,0.8983673469387754,0.01143248467205904,3.6778930048278613,0,0.5704257130693908,49,1.1108749225928665
4,1.5,uniform,50,5.392209637092934,0.77273038166441,0.9746938775510204,0.02550515231096087,3.7897927884537004,2,0.4968982066178329,51,1.108071144775365
4,2.0,fixed,50,5.405853668741158,1.1000460473777536,0.8983673469387754,0.011432484672056974,3.6778930048278613,0,0.5704257130693908,49,1.1108749225928665
4,2.0,uniform,50,5.029889032549169,1.0390680310789706,0.8861224489795919,0.010057545153458228,3.751576830356309,0,0.5846054490413723,49,1.0336161376312145
5,0.5,fixed,50,130.82710223868762,0.9669568953581371,1.0,2.000000000000042,5.254975747805496,169,0.9120634920634918,218,26.515740228571456
5,0.5,uniform,50,8.507714963802558,0.8739172722652646,0.9461224489795919,0.01682476387291773,4.216677600006761,26,0.6213742651861527,75,1.724324364437454
5,0.75,fixed,50,9.109207791682014,1.4022190018165113,0.8848979591836735,0.009591953435106158,3.7027892742234445,1,0.6439676285805556,50,1.8462335659750855
5,0.75,uniform,50,4.933941165169424,1.029857325131593,0.8702040816326531,0.00864200130524315,3.7748645115908896,0,0.5494347191830782,49,1.0
